segment,requested_start_hour,requested_duration_mins,work_type,safety_criticality,trains_scheduled_in_window,asset_risk_flag,historical_overrun_rate,text_urgency_score,priority_score
C-D,2,99,Electrical,safety_critical,5,1,0.1,71.62,100.0
C-D,5,159,Signal,urgent,8,1,0.102,51.12,97.4
B-C,8,201,Other,safety_critical,2,0,0.005,68.4,100.0
C-D,5,31,Electrical,safety_critical,2,0,0.219,100.0,100.0
B-C,8,131,Track,routine,2,1,0.441,10.07,35.43
C-D,6,238,Signal,safety_critical,2,1,0.026,78.54,100.0
A-B,8,64,Other,routine,8,1,0.096,20.96,61.26
B-C,17,127,Electrical,safety_critical,3,1,0.155,100.0,100.0
C-D,11,59,Track,urgent,6,1,0.366,34.24,99.07
D-E,7,145,Other,safety_critical,8,0,0.32,86.42,100.0
C-D,7,37,Other,routine,6,0,0.208,35.37,50.21
D-E,17,179,Signal,routine,8,0,0.38,21.9,48.18
D-E,19,73,Other,urgent,2,1,0.305,40.96,86.04
A-B,14,215,Signal,safety_critical,3,0,0.448,83.92,100.0
B-C,6,65,Electrical,safety_critical,7,0,0.409,100.0,100.0
C-D,10,226,Signal,urgent,5,0,0.126,47.61,75.69
A-B,19,106,Track,safety_critical,4,0,0.136,99.36,100.0
C-D,15,60,Signal,safety_critical,3,0,0.063,87.59,100.0
D-E,3,76,Track,routine,7,1,0.168,37.33,62.96
B-C,5,84,Signal,safety_critical,0,0,0.5,87.19,100.0
C-D,21,237,Other,safety_critical,8,1,0.203,80.16,100.0
C-D,2,135,Electrical,urgent,0,1,0.11,74.67,83.04
D-E,8,219,Track,urgent,7,1,0.381,57.7,98.91
C-D,9,187,Signal,routine,3,1,0.271,26.66,44.34
C-D,13,150,Signal,safety_critical,8,1,0.075,93.08,100.0
D-E,10,84,Signal,safety_critical,4,0,0.19,94.24,100.0
A-B,17,173,Other,safety_critical,2,0,0.207,93.13,100.0
D-E,21,41,Other,routine,8,1,0.377,11.49,58.95
A-B,11,174,Track,routine,8,1,0.01,18.63,46.99
B-C,22,173,Track,urgent,3,1,0.135,47.12,83.37
A-B,11,169,Other,routine,3,0,0.259,17.21,31.43
A-B,12,165,Track,safety_critical,7,1,0.134,76.28,100.0
B-C,12,32,Electrical,safety_critical,1,0,0.314,78.29,100.0
A-B,18,173,Electrical,routine,8,1,0.241,28.36,59.11
D-E,18,59,Other,safety_critical,5,0,0.181,89.94,100.0
A-B,22,52,Track,safety_critical,8,1,0.475,84.98,100.0
B-C,13,121,Signal,routine,7,0,0.316,20.74,49.57
D-E,3,144,Electrical,routine,6,1,0.065,37.75,53.77
B-C,12,133,Other,safety_critical,0,0,0.28,84.08,100.0
B-C,7,147,Track,safety_critical,2,0,0.39,94.37,100.0
C-D,22,34,Other,safety_critical,1,0,0.354,79.31,100.0
C-D,20,133,Signal,urgent,4,0,0.086,59.96,79.3
B-C,22,137,Electrical,urgent,4,0,0.486,71.11,91.56
B-C,18,94,Other,urgent,4,0,0.224,23.69,74.22
B-C,11,150,Other,routine,3,0,0.08,18.45,28.42
C-D,17,59,Other,urgent,4,1,0.09,62.12,91.71
C-D,5,178,Signal,routine,2,1,0.049,37.13,40.49
A-B,17,113,Other,routine,0,1,0.402,27.03,42.17
A-B,18,227,Signal,urgent,4,1,0.061,55.59,86.83
B-C,21,179,Signal,urgent,8,1,0.063,74.33,100.0
D-E,4,239,Signal,urgent,8,0,0.425,70.29,96.64
D-E,23,229,Electrical,safety_critical,3,0,0.172,76.31,100.0
C-D,8,61,Electrical,urgent,2,0,0.015,56.4,78.15
C-D,2,190,Other,safety_critical,0,0,0.026,88.6,100.0
C-D,9,45,Other,routine,1,0,0.071,42.19,35.21
B-C,18,233,Electrical,safety_critical,7,1,0.107,93.66,100.0
D-E,2,67,Track,urgent,0,1,0.333,53.76,83.8
A-B,21,171,Electrical,routine,7,1,0.079,27.2,53.57
B-C,14,65,Signal,routine,6,1,0.059,6.16,45.74
A-B,0,180,Electrical,routine,7,0,0.382,34.69,53.3
A-B,6,143,Signal,safety_critical,5,0,0.336,91.46,100.0
B-C,11,95,Other,urgent,8,0,0.218,69.55,98.77
A-B,16,134,Track,routine,2,1,0.275,23.56,40.14
D-E,20,114,Other,routine,3,0,0.156,26.28,30.27
A-B,23,31,Signal,routine,5,1,0.241,20.19,51.82
D-E,19,230,Signal,safety_critical,7,0,0.253,73.52,100.0
D-E,4,222,Signal,safety_critical,4,0,0.194,78.98,100.0
D-E,3,104,Track,urgent,2,1,0.453,33.17,85.8
C-D,11,96,Electrical,safety_critical,5,0,0.008,94.15,100.0
A-B,19,209,Other,routine,3,0,0.391,3.25,26.55
B-C,23,219,Other,urgent,8,1,0.062,79.39,100.0
B-C,17,180,Electrical,routine,2,0,0.399,7.36,27.0
A-B,16,183,Other,routine,3,1,0.308,40.0,45.47
C-D,18,225,Track,safety_critical,6,0,0.422,75.92,100.0
C-D,8,239,Other,urgent,6,0,0.049,61.73,79.01
D-E,3,84,Signal,safety_critical,3,0,0.279,77.48,100.0
A-B,20,35,Electrical,safety_critical,5,0,0.251,100.0,100.0
A-B,1,192,Track,urgent,2,0,0.353,55.52,76.2
B-C,3,179,Electrical,routine,5,0,0.267,35.74,39.68
A-B,1,200,Track,routine,1,0,0.27,25.76,25.23
C-D,14,172,Signal,urgent,7,0,0.215,59.24,91.65
A-B,1,115,Electrical,routine,1,1,0.154,31.16,36.97
B-C,3,89,Other,urgent,6,1,0.241,48.66,95.96
D-E,5,130,Track,urgent,8,0,0.059,39.64,85.97
B-C,6,41,Electrical,safety_critical,0,0,0.481,71.98,100.0
B-C,9,78,Other,urgent,7,1,0.357,55.61,100.0
D-E,18,71,Electrical,safety_critical,6,0,0.476,80.11,100.0
B-C,18,195,Electrical,routine,5,0,0.113,3.54,29.64
B-C,21,111,Electrical,routine,5,1,0.44,30.13,58.99
A-B,11,202,Track,routine,5,0,0.404,12.82,34.69
A-B,2,64,Other,routine,8,0,0.339,13.4,52.33
D-E,12,187,Signal,safety_critical,1,1,0.313,84.58,100.0
A-B,17,187,Track,routine,0,0,0.158,16.0,18.38
A-B,7,235,Track,urgent,5,0,0.408,56.47,81.19
B-C,20,163,Track,urgent,7,1,0.251,78.68,100.0
C-D,14,96,Signal,urgent,2,0,0.035,50.45,71.71
A-B,0,109,Other,safety_critical,0,1,0.156,74.4,100.0
C-D,2,36,Other,routine,8,0,0.468,26.82,59.52
A-B,7,209,Other,routine,0,0,0.425,17.25,23.6
A-B,3,43,Electrical,routine,2,1,0.491,25.24,49.25
D-E,15,102,Electrical,safety_critical,7,1,0.314,88.16,100.0
D-E,22,172,Electrical,urgent,2,0,0.124,54.58,68.96
D-E,9,178,Signal,urgent,3,1,0.081,55.68,82.42
C-D,11,192,Electrical,routine,7,1,0.093,26.92,52.6
B-C,13,95,Signal,urgent,0,0,0.01,74.17,68.62
A-B,13,120,Other,urgent,5,0,0.195,51.96,83.84
A-B,1,159,Electrical,safety_critical,0,0,0.096,86.27,100.0
A-B,22,192,Electrical,safety_critical,0,1,0.206,93.67,100.0
C-D,4,239,Track,safety_critical,7,1,0.467,89.71,100.0
D-E,4,235,Signal,safety_critical,3,1,0.215,81.42,100.0
B-C,5,49,Other,routine,0,1,0.439,34.02,45.75
C-D,12,239,Track,safety_critical,6,0,0.303,76.29,100.0
D-E,8,39,Track,urgent,4,1,0.124,52.28,94.39
C-D,21,54,Other,routine,4,0,0.178,17.29,36.44
B-C,14,223,Track,urgent,0,1,0.042,61.91,73.92
D-E,13,54,Signal,urgent,5,0,0.167,69.28,90.82
C-D,23,83,Signal,urgent,8,0,0.339,57.68,99.42
B-C,6,62,Electrical,safety_critical,8,0,0.036,85.75,100.0
A-B,19,193,Track,safety_critical,7,1,0.103,76.25,100.0
B-C,1,124,Electrical,routine,4,0,0.191,17.97,36.86
A-B,6,43,Track,routine,0,0,0.491,13.07,31.65
C-D,5,94,Signal,safety_critical,8,1,0.392,63.23,100.0
D-E,16,139,Signal,urgent,0,0,0.367,50.31,70.63
D-E,1,109,Signal,routine,7,1,0.058,22.02,55.51
C-D,2,83,Track,safety_critical,4,1,0.39,100.0,100.0
D-E,4,154,Signal,safety_critical,2,0,0.393,100.0,100.0
D-E,4,209,Track,safety_critical,6,0,0.301,90.56,100.0
A-B,0,160,Electrical,urgent,6,1,0.495,80.01,100.0
C-D,7,198,Track,safety_critical,8,0,0.163,98.91,100.0
B-C,11,163,Electrical,safety_critical,6,1,0.471,64.92,100.0
A-B,23,54,Track,safety_critical,2,1,0.457,95.67,100.0
C-D,3,170,Electrical,safety_critical,0,1,0.006,92.11,100.0
A-B,12,146,Signal,routine,7,0,0.225,22.11,45.29
B-C,22,165,Electrical,routine,2,1,0.489,10.85,40.72
B-C,14,178,Signal,safety_critical,7,0,0.052,90.95,100.0
C-D,10,225,Signal,urgent,7,0,0.274,30.05,80.94
B-C,9,54,Electrical,routine,4,0,0.489,24.79,46.12
A-B,2,108,Track,safety_critical,0,0,0.278,78.83,100.0
B-C,21,97,Track,routine,6,1,0.095,12.41,52.52
A-B,13,202,Other,routine,4,0,0.291,36.89,34.7
A-B,15,217,Track,urgent,7,1,0.102,54.5,95.4
B-C,9,41,Other,safety_critical,8,1,0.26,86.74,100.0
C-D,9,61,Track,safety_critical,6,0,0.037,94.08,100.0
D-E,11,157,Track,urgent,6,1,0.303,54.89,100.0
B-C,8,125,Signal,urgent,0,1,0.258,60.42,80.28
A-B,0,121,Other,safety_critical,3,0,0.37,93.16,100.0
A-B,4,170,Track,safety_critical,1,1,0.315,90.67,100.0
B-C,19,60,Other,urgent,1,1,0.275,58.43,88.3
C-D,7,107,Signal,routine,1,1,0.345,42.83,44.06
C-D,10,49,Signal,routine,3,1,0.072,37.42,54.28
A-B,11,175,Other,urgent,0,0,0.298,53.97,69.65
A-B,0,89,Signal,routine,3,1,0.086,15.9,42.38
C-D,21,220,Electrical,urgent,1,1,0.463,62.66,87.79
D-E,19,163,Electrical,routine,4,1,0.034,27.16,41.52
B-C,10,189,Signal,routine,2,1,0.215,42.09,43.74
A-B,4,122,Electrical,safety_critical,7,0,0.348,94.87,100.0
A-B,14,72,Track,safety_critical,3,1,0.229,92.64,100.0
C-D,4,159,Other,routine,0,0,0.046,25.13,21.28
B-C,11,89,Track,routine,0,1,0.277,16.24,32.63
C-D,4,180,Other,safety_critical,2,0,0.321,83.02,100.0
B-C,16,240,Signal,safety_critical,8,0,0.352,89.77,100.0
B-C,16,60,Track,safety_critical,6,0,0.187,67.7,100.0
B-C,23,34,Signal,urgent,1,0,0.282,69.9,84.06
A-B,11,240,Signal,routine,8,0,0.225,45.67,51.69
D-E,23,191,Other,safety_critical,1,1,0.336,65.55,100.0
C-D,14,39,Other,routine,2,1,0.292,11.0,45.93
D-E,14,118,Other,urgent,1,1,0.263,57.76,85.9
C-D,5,159,Track,urgent,2,0,0.125,48.01,73.73
B-C,11,155,Electrical,safety_critical,5,1,0.001,87.61,100.0
A-B,19,40,Other,urgent,8,0,0.087,54.14,94.64
D-E,17,207,Other,routine,8,0,0.059,14.76,40.47
A-B,13,188,Track,safety_critical,6,1,0.225,97.88,100.0
C-D,1,85,Other,routine,2,1,0.306,29.65,50.47
A-B,8,236,Track,routine,3,0,0.107,19.4,27.42
A-B,4,230,Signal,urgent,5,0,0.47,73.06,91.32
D-E,19,112,Other,urgent,4,1,0.003,48.9,86.39
B-C,0,166,Other,urgent,1,1,0.386,40.1,78.64
A-B,22,128,Signal,urgent,5,1,0.313,57.2,98.42
B-C,2,178,Signal,urgent,2,1,0.187,59.24,81.36
C-D,5,102,Signal,safety_critical,7,0,0.025,90.32,100.0
A-B,4,185,Other,routine,1,1,0.314,31.96,39.26
D-E,20,219,Electrical,routine,0,1,0.193,30.16,32.57
C-D,4,144,Electrical,routine,8,1,0.468,29.75,63.27
C-D,0,36,Electrical,routine,2,0,0.271,19.26,36.84
D-E,16,109,Other,urgent,0,0,0.47,46.83,72.09
A-B,18,173,Signal,routine,6,0,0.11,32.42,42.57
A-B,13,126,Other,safety_critical,4,0,0.363,87.43,100.0
C-D,11,33,Signal,safety_critical,4,1,0.309,93.2,100.0
A-B,9,33,Other,routine,0,0,0.37,7.93,25.88
B-C,19,132,Other,routine,8,1,0.107,19.99,58.6
D-E,20,69,Signal,safety_critical,6,1,0.332,100.0,100.0
B-C,17,46,Electrical,safety_critical,7,1,0.249,90.53,100.0
A-B,23,130,Signal,urgent,8,1,0.371,58.55,100.0
C-D,10,132,Track,safety_critical,5,0,0.164,92.08,100.0
D-E,1,153,Track,urgent,4,0,0.445,81.5,93.63
A-B,17,81,Signal,urgent,5,0,0.042,78.98,90.68
A-B,6,81,Other,urgent,1,1,0.404,36.05,81.56
C-D,23,193,Track,urgent,3,1,0.431,40.47,82.8
C-D,14,153,Track,urgent,2,1,0.409,35.64,83.43
B-C,10,195,Other,routine,6,1,0.256,17.53,50.88
D-E,17,207,Other,safety_critical,8,1,0.219,85.55,100.0
D-E,22,92,Electrical,urgent,4,0,0.498,57.9,86.86
C-D,11,145,Other,safety_critical,5,1,0.115,69.7,100.0
B-C,5,220,Signal,safety_critical,1,0,0.273,66.33,100.0
D-E,19,91,Signal,urgent,2,1,0.335,45.82,90.03
C-D,22,36,Electrical,routine,2,1,0.35,34.16,50.95
A-B,12,184,Track,urgent,8,0,0.102,68.08,91.33
D-E,19,121,Track,routine,6,0,0.327,42.06,47.76
B-C,15,43,Other,safety_critical,7,1,0.409,84.68,100.0
B-C,17,228,Signal,routine,8,1,0.025,33.28,50.62
B-C,9,115,Track,routine,5,1,0.456,35.1,56.89
A-B,22,162,Electrical,routine,3,1,0.015,20.03,37.45
D-E,7,212,Electrical,safety_critical,0,0,0.178,88.88,100.0
D-E,17,159,Signal,safety_critical,7,1,0.008,91.59,100.0
A-B,20,91,Electrical,routine,6,0,0.039,15.91,41.16
D-E,0,178,Electrical,routine,1,1,0.456,41.42,44.43
A-B,22,108,Signal,urgent,7,0,0.177,54.53,88.67
A-B,7,178,Other,routine,4,0,0.212,25.87,37.87
A-B,5,167,Other,urgent,6,1,0.108,43.63,93.22
B-C,4,87,Electrical,routine,3,0,0.299,17.21,31.4
D-E,14,149,Other,urgent,4,1,0.297,28.64,84.27
A-B,21,196,Other,safety_critical,7,0,0.186,85.55,100.0
D-E,14,162,Electrical,routine,0,1,0.167,50.06,41.56
B-C,1,94,Other,routine,0,0,0.442,14.81,32.47
A-B,0,42,Electrical,routine,3,1,0.192,54.76,56.2
C-D,22,210,Track,routine,2,1,0.247,39.14,38.06
B-C,22,111,Signal,urgent,1,0,0.142,49.32,71.24
C-D,10,202,Signal,routine,2,0,0.393,25.27,34.12
D-E,9,189,Other,safety_critical,0,0,0.199,83.65,100.0
D-E,17,193,Other,safety_critical,0,0,0.257,100.0,100.0
B-C,17,238,Other,routine,5,1,0.127,30.17,43.82
D-E,16,217,Signal,safety_critical,4,0,0.494,96.82,100.0
C-D,7,168,Track,routine,7,1,0.146,28.58,53.19
A-B,14,220,Track,routine,1,0,0.385,23.88,27.52
A-B,7,178,Signal,safety_critical,3,1,0.214,88.26,100.0
A-B,16,81,Track,routine,7,1,0.103,20.93,55.14
B-C,11,212,Signal,safety_critical,5,1,0.4,70.48,100.0
D-E,7,146,Track,urgent,0,1,0.167,64.76,79.51
C-D,13,55,Electrical,routine,3,0,0.433,9.99,37.05
D-E,3,225,Electrical,urgent,0,0,0.458,51.77,70.04
D-E,0,63,Signal,safety_critical,1,1,0.43,80.6,100.0
D-E,0,81,Track,urgent,4,0,0.018,62.72,80.37
A-B,18,141,Other,urgent,7,0,0.394,73.78,96.44
C-D,15,111,Track,safety_critical,7,1,0.206,97.05,100.0
C-D,13,209,Electrical,urgent,2,0,0.437,63.07,78.0
D-E,20,186,Electrical,urgent,3,0,0.319,47.44,72.68
A-B,15,195,Track,safety_critical,5,0,0.417,83.17,100.0
A-B,4,71,Track,urgent,2,1,0.25,51.05,86.65
C-D,8,50,Other,safety_critical,1,0,0.268,80.3,100.0
A-B,1,71,Other,urgent,5,1,0.072,50.17,92.55
A-B,17,170,Track,safety_critical,4,0,0.392,80.71,100.0
A-B,5,142,Track,safety_critical,4,0,0.21,80.27,100.0
B-C,8,134,Track,urgent,4,0,0.25,66.42,86.38
D-E,0,221,Track,urgent,4,1,0.393,42.34,87.97
C-D,8,46,Signal,urgent,2,1,0.299,46.25,89.44
C-D,15,149,Track,routine,6,0,0.101,9.17,37.86
B-C,12,166,Other,routine,5,1,0.295,39.15,52.93
D-E,8,198,Electrical,routine,3,0,0.204,17.03,26.2
C-D,20,158,Signal,safety_critical,1,1,0.235,91.61,100.0
A-B,12,159,Track,urgent,8,1,0.014,60.7,99.25
C-D,8,89,Electrical,safety_critical,0,0,0.105,98.19,100.0
A-B,10,77,Signal,routine,3,0,0.141,22.9,35.14
B-C,3,58,Electrical,urgent,0,0,0.356,43.63,72.46
A-B,1,126,Track,safety_critical,5,0,0.006,69.44,100.0
C-D,5,39,Track,urgent,3,1,0.204,21.58,83.19
C-D,13,87,Other,safety_critical,4,1,0.462,86.61,100.0
C-D,3,217,Track,urgent,4,1,0.056,64.31,87.38
B-C,5,50,Track,routine,8,0,0.258,29.72,53.52
B-C,18,57,Signal,routine,0,0,0.393,9.7,27.84
D-E,5,232,Other,urgent,1,1,0.471,67.47,86.7
C-D,1,63,Signal,safety_critical,5,0,0.373,78.02,100.0
A-B,17,37,Electrical,routine,4,1,0.36,15.93,52.96
B-C,12,216,Track,routine,6,1,0.413,17.79,49.51
C-D,8,229,Electrical,routine,2,1,0.223,25.78,39.05
C-D,22,206,Signal,urgent,2,1,0.403,37.18,83.56
B-C,18,108,Track,urgent,1,1,0.004,54.56,75.84
D-E,12,174,Track,safety_critical,2,0,0.462,89.29,100.0
B-C,10,217,Signal,safety_critical,0,0,0.222,96.07,100.0
B-C,0,116,Signal,safety_critical,4,0,0.277,86.76,100.0
A-B,23,117,Signal,urgent,4,1,0.127,38.92,89.16
A-B,21,202,Signal,urgent,6,1,0.371,56.79,97.8
D-E,6,240,Signal,safety_critical,3,1,0.038,74.4,100.0
C-D,20,98,Track,safety_critical,2,1,0.436,73.82,100.0
B-C,14,189,Signal,urgent,0,0,0.414,38.65,67.05
D-E,0,201,Track,safety_critical,7,0,0.108,65.89,100.0
A-B,11,222,Track,routine,2,1,0.405,19.33,37.34
B-C,6,116,Signal,urgent,1,1,0.393,68.55,90.13
C-D,14,130,Signal,safety_critical,3,1,0.316,100.0,100.0
A-B,20,37,Other,urgent,2,0,0.187,48.12,78.21
A-B,18,106,Track,routine,0,0,0.136,35.86,28.56
A-B,0,229,Signal,urgent,2,0,0.116,50.27,67.48
D-E,16,116,Signal,urgent,1,1,0.159,35.19,77.71
C-D,16,72,Signal,urgent,7,1,0.452,63.41,100.0
B-C,2,158,Other,urgent,5,0,0.039,57.82,79.5
D-E,11,138,Other,routine,8,1,0.414,43.18,69.29
D-E,5,208,Electrical,urgent,7,0,0.174,36.58,80.64
D-E,10,181,Track,urgent,2,1,0.261,88.55,94.49
A-B,2,181,Electrical,safety_critical,4,0,0.397,100.0,100.0
C-D,7,46,Signal,urgent,6,1,0.442,54.78,100.0
D-E,13,162,Other,safety_critical,4,0,0.172,82.01,100.0
B-C,13,177,Other,routine,7,0,0.231,17.84,39.07
C-D,9,50,Electrical,routine,4,0,0.207,26.1,40.07
B-C,1,87,Other,routine,0,0,0.007,23.16,24.25
C-D,13,188,Signal,routine,4,0,0.148,30.14,34.65
B-C,8,139,Other,safety_critical,3,0,0.23,82.06,100.0
A-B,2,168,Electrical,urgent,5,1,0.206,71.98,95.16
D-E,20,209,Signal,routine,2,1,0.361,26.25,41.09
B-C,7,172,Electrical,urgent,4,1,0.192,51.92,89.11
C-D,15,240,Other,safety_critical,1,0,0.245,95.24,100.0
D-E,1,164,Electrical,safety_critical,5,0,0.215,68.77,100.0
